Smp_006510.1 GO:0004252,GO:0005576,GO:0006508,GO:0008233,GO:0009405
Smp_006520.1 GO:0004252,GO:0005615,GO:0006508,GO:0008233
Smp_006550.1 GO:0005737,GO:0006810,GO:0009055,GO:0015035,GO:0045454
Smp_006560.1 GO:0004792,GO:0008272
Smp_006590.1 GO:0008270
Smp_006630.1 GO:0003677,GO:0003887,GO:0005634,GO:0005730,GO:0005737,GO:0006350,GO:0006355
Smp_006630.2 GO:0005634
Smp_006680.1 GO:0006915
Smp_006690.1 GO:0005524,GO:0005737,GO:0006260,GO:0006457,GO:0008270,GO:0009408,GO:0031072,GO:0051082
Smp_006710.1 GO:0003906,GO:0004519,GO:0005506,GO:0005622,GO:0006284,GO:0006974,GO:0016798,GO:0043565,GO:0051539
Smp_006720.1 GO:0015031,GO:0016020,GO:0016021,GO:0016192,GO:0019717,GO:0030054,GO:0031410,GO:0045202
Smp_006720.2 GO:0015031,GO:0016020,GO:0016021,GO:0016192,GO:0019717,GO:0031410,GO:0045202
Smp_006730.1 GO:0016020,GO:0016021
Smp_006740.1 GO:0003774,GO:0003779,GO:0005524,GO:0005737,GO:0005863,GO:0006941
Smp_006750.1 GO:0016020,GO:0016021
Smp_006760.1 GO:0016020,GO:0016021
Smp_006780.1 GO:0005737,GO:0008080,GO:0008152
Smp_006810.1 GO:0003700,GO:0005634,GO:0006350,GO:0006355,GO:0007275,GO:0008270,GO:0043565
Smp_006830.1 GO:0005634,GO:0006350,GO:0006355,GO:0016568
Smp_006830.2 GO:0005634,GO:0006350,GO:0006355,GO:0016568
Smp_006830.3 GO:0001539,GO:0003774,GO:0005198,GO:0009288
Smp_006840.1 GO:0016020,GO:0016021
Smp_006850.1 GO:0003899,GO:0005634,GO:0006350
Smp_006860.1 GO:0005737,GO:0008270,GO:0016020
Smp_006860.2 GO:0005737,GO:0008270,GO:0016020
Smp_006920.1 GO:0004674,GO:0004715,GO:0005515,GO:0005524,GO:0005737,GO:0006468
Smp_006930.1 GO:0000139,GO:0000287,GO:0005794,GO:0006486,GO:0008378,GO:0016021
Smp_006960.1 GO:0016020,GO:0016021
Smp_006970.1 GO:0005737
Smp_006980.1 GO:0000119,GO:0005634,GO:0005737,GO:0006350,GO:0006357,GO:0016455
Smp_006990.1 GO:0003743,GO:0003924,GO:0005525,GO:0005622,GO:0005737,GO:0006412,GO:0006413
Smp_007000.1 GO:0005634,GO:0006260
Smp_007010.1 GO:0004674,GO:0005083,GO:0005524,GO:0005737,GO:0006468,GO:0006950,GO:0007243
Smp_007070.1 GO:0001584,GO:0004930,GO:0004983,GO:0005886,GO:0007186,GO:0016021
Smp_007170.1 GO:0005737
Smp_007180.1 GO:0003723,GO:0005634,GO:0006397,GO:0008380
Smp_007190.1 GO:0000375,GO:0005634,GO:0006397,GO:0008419
Smp_007210.1 GO:0005097,GO:0005622,GO:0032313
Smp_007260.1 GO:0000287,GO:0005524,GO:0005886,GO:0006754,GO:0008152,GO:0015662,GO:0015992,GO:0016021
Smp_007260.2 GO:0000287,GO:0004012,GO:0005524,GO:0006754,GO:0006812,GO:0008152,GO:0015662,GO:0015914,GO:0016020,GO:0016021
Smp_007270.1 GO:0003779,GO:0005509,GO:0005737,GO:0005856
Smp_007270.2 GO:0003779,GO:0005737,GO:0005856
Smp_007300.1 GO:0005739,GO:0005758
Smp_007330.1 GO:0005634
Smp_007500.1 GO:0005737,GO:0005794,GO:0016020
Smp_007510.1 GO:0004693,GO:0004713,GO:0005524,GO:0005634,GO:0006468,GO:0007049,GO:0007067,GO:0008353,GO:0051301
Smp_007540.1 GO:0000178,GO:0003723,GO:0004527,GO:0005634,GO:0005737,GO:0006364,GO:0006401
Smp_007550.1 GO:0004177,GO:0004179,GO:0005737,GO:0008233,GO:0008237,GO:0008270,GO:0016020,GO:0016021,GO:0019370
Smp_007570.1 GO:0003677,GO:0003899,GO:0005634,GO:0005665,GO:0006366,GO:0008270,GO:0016779
Smp_007630.1 GO:0000166,GO:0003723,GO:0005634,GO:0005737,GO:0006397
Smp_007630.2 GO:0000166,GO:0005634,GO:0005737,GO:0006397,GO:0006417,GO:0008143,GO:0051028
Smp_007650.1 GO:0005737,GO:0005978,GO:0016757,GO:0016798,GO:0043169
Smp_007660.1 GO:0003677,GO:0003702,GO:0003711,GO:0003746,GO:0005634,GO:0006350,GO:0006354,GO:0006357,GO:0008270
Smp_007670.1 GO:0005737,GO:0016020
Smp_007690.1 GO:0004505,GO:0005506,GO:0006559,GO:0055114
Smp_007730.1 GO:0004872,GO:0005783,GO:0005789,GO:0006621,GO:0015031,GO:0016021,GO:0016192,GO:0046923
Smp_007730.2 GO:0004872,GO:0005783,GO:0005789,GO:0006621,GO:0015031,GO:0016021,GO:0016192,GO:0046923
Smp_007760.1 GO:0005737,GO:0008483,GO:0009058,GO:0016847,GO:0030170
Smp_007770.1 GO:0004842,GO:0005634,GO:0006512,GO:0043687,GO:0051246
Smp_007780.1 GO:0004842,GO:0006512,GO:0043687,GO:0051246
Smp_007890.1 GO:0000166,GO:0003899,GO:0005634,GO:0005886,GO:0006383,GO:0009360
Smp_007890.2 GO:0000166,GO:0003824,GO:0003899,GO:0005634,GO:0005886,GO:0006383,GO:0009360
Smp_007900.1 GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0015934,GO:0019843
Smp_007900.2 GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0009507,GO:0015934,GO:0019843
Smp_007950.1 GO:0003831,GO:0003945,GO:0005794,GO:0005975,GO:0016020,GO:0016021,GO:0030145
Smp_007960.1 GO:0003868,GO:0005506,GO:0006559,GO:0006572
Smp_007970.1 GO:0005737,GO:0042254
Smp_008070.1 GO:0006118,GO:0006662,GO:0006810,GO:0009055,GO:0015035,GO:0045454
Smp_008120.1 GO:0000119,GO:0005634,GO:0006350,GO:0006357,GO:0016455
Smp_008140.1 GO:0000166,GO:0003723,GO:0005737
Smp_008170.1 GO:0003824,GO:0005249,GO:0005509,GO:0006813,GO:0008076,GO:0008152,GO:0015269,GO:0016020,GO:0016021,GO:0030955
